0.0,5.105,0.0,4.75,4.991,5.17,1.782,2.465,1.52,2.465,1.578,2.465,1.59,3.206,3.445,3.445,1.9,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.56,1.779,2.455,1.92,1.9,1.76,1.95,1.95,2.03,0.0,2.03,2.03,0.0,1.92,1.84,1.95,3.45,3.184,3.279,0.0,0.0,1.73,0.0,2.87,2.519,2.72,2.71,2.546,2.68,2.9,2.469,2.795
5.519,0.0,3.6,3.6,5.169,5.519,1.794,2.564,1.62,2.564,1.529,2.564,1.529,3.25,3.42,3.42,1.9,1.9,1.72,0.0,0.0,0.0,0.0,0.0,0.0,2.878,1.78,2.03,1.77,1.92,1.64,1.85,2.1,2.03,3.2,2.03,2.03,2.01,2.05,1.79,2.1,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,2.2,2.465,2.14,2.59,2.61,2.86,2.14,2.795
4.581,4.516,0.0,4.514,4.434,4.581,1.794,2.668,2.27,3.782,2.208,3.782,2.196,2.83,2.99,2.97,1.9,1.76,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.878,1.78,2.745,2.172,2.151,2.1,2.172,2.172,2.09,1.96,2.09,2.09,2.01,2.172,1.8,2.172,2.99,2.88,2.75,0.0,0.0,1.792,2.838,2.33,2.38,2.85,2.889,2.491,2.51,2.562,2.14,2.795
7.33,0.0,6.72,0.0,6.81,0.0,1.64,1.64,1.71,1.74,1.59,1.65,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.748,0.0,1.92,1.83,1.89,1.93,1.93,0.0,0.0,0.0,0.0,0.0,1.76,1.52,1.93,0.0,0.0,0.0,2.49,2.55,1.99,2.66,0.0,2.582,2.74,2.72,2.582,2.84,2.71,2.49,2.08
7.33,0.0,0.0,5.62,0.0,7.33,1.769,2.055,1.07,2.055,1.594,2.055,1.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.92,0.0,1.75,1.95,1.93,0.0,0.0,0.0,0.0,0.0,1.93,1.66,1.93,0.0,0.0,0.0,0.0,0.0,2.2,0.0,2.87,2.519,2.73,2.72,2.551,2.68,2.93,2.49,1.67
5.17,5.008,5.64,4.75,5.124,0.0,1.794,2.572,2.239,2.572,2.196,2.572,2.196,3.234,3.296,3.445,1.9,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,2.56,1.779,2.39,2.172,2.01,2.102,2.172,2.172,2.03,0.0,2.03,2.03,0.0,2.172,1.85,2.172,3.296,3.111,3.034,0.0,0.0,1.78,0.0,2.24,2.592,2.925,2.925,2.628,2.5,2.584,2.3,2.795
2.38,2.38,2.264,2.309,2.18,2.38,0.0,2.356,3.11,2.196,3.45,2.196,5.556,2.398,2.49,2.318,0.0,0.0,0.0,2.34,2.448,0.0,0.0,2.412,0.0,2.61,5.146,2.83,0.0,2.718,0.0,2.771,2.764,2.557,2.378,2.566,2.557,2.909,2.958,2.81,2.764,2.512,2.446,2.314,2.0,2.0,2.13,0.0,1.98,2.121,0.0,0.0,2.154,0.0,0.0,0.0,2.09
3.104,3.106,3.106,3.058,3.251,3.104,2.615,0.0,2.629,6.648,2.579,6.645,2.582,4.08,3.289,3.292,2.335,2.532,2.171,2.264,2.309,2.33,2.58,2.309,0.0,3.79,2.544,3.455,2.67,2.299,2.456,2.47,2.476,2.584,3.26,2.584,2.584,2.745,2.462,2.38,2.47,3.294,3.216,3.248,2.97,2.958,2.114,2.14,2.318,2.19,2.214,2.214,2.208,2.375,2.285,2.362,2.309
3.038,3.096,3.081,2.78,2.908,3.032,4.188,2.629,0.0,2.584,3.824,2.584,3.824,2.646,2.8,2.74,0.0,0.0,0.0,2.271,2.478,2.363,2.272,2.49,2.332,2.71,4.42,2.66,2.875,0.0,2.702,2.411,2.431,2.514,2.49,2.514,2.514,2.562,2.41,2.37,2.495,2.72,2.549,2.686,2.05,2.05,2.114,0.0,2.41,2.164,2.088,2.088,2.081,2.525,2.264,2.395,2.162
3.155,3.164,3.164,2.994,3.251,3.155,2.628,6.3,2.519,0.0,2.505,7.155,2.581,4.08,3.302,3.292,2.285,2.604,2.46,2.215,2.302,2.58,2.71,2.302,0.0,3.79,2.579,3.73,2.614,2.299,0.0,2.469,2.474,2.634,3.41,2.634,2.634,2.751,2.45,2.38,2.469,3.339,3.322,3.215,2.809,2.809,2.02,2.42,2.335,2.269,2.622,2.622,2.391,2.406,2.318,2.371,2.338
