0.0,0.244,0.1,0.006,0.007,0.512,0.001,0.006,0.002,0.022,0.008,0.025,0.007,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.008,0.002,0.0,0.002,0.0,0.001,0.001,0.002,0.004,0.002,0.004,0.004,0.001,0.002,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.005,0.005,0.0,0.001,0.0,0.0,0.0
0.208,0.0,0.168,0.007,0.006,0.366,0.002,0.012,0.003,0.04,0.015,0.045,0.013,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.019,0.002,0.001,0.004,0.001,0.001,0.002,0.004,0.009,0.002,0.009,0.01,0.001,0.004,0.002,0.004,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.008,0.009,0.0,0.001,0.0,0.0,0.001
0.038,0.069,0.0,0.001,0.003,0.437,0.003,0.03,0.004,0.095,0.009,0.113,0.007,0.002,0.004,0.002,0.001,0.001,0.002,0.002,0.003,0.001,0.002,0.002,0.001,0.016,0.003,0.002,0.009,0.001,0.003,0.003,0.009,0.022,0.006,0.018,0.025,0.002,0.005,0.003,0.008,0.003,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.005,0.009,0.001,0.002,0.001,0.001,0.001
0.076,0.051,0.029,0.0,0.032,0.055,0.011,0.013,0.012,0.034,0.015,0.037,0.014,0.013,0.014,0.015,0.006,0.007,0.01,0.009,0.013,0.006,0.008,0.008,0.005,0.019,0.01,0.007,0.039,0.006,0.015,0.016,0.043,0.018,0.014,0.019,0.02,0.01,0.025,0.014,0.039,0.011,0.005,0.007,0.009,0.009,0.008,0.021,0.008,0.004,0.038,0.038,0.006,0.018,0.003,0.005,0.005
0.184,0.097,0.024,0.011,0.0,0.135,0.008,0.01,0.01,0.027,0.011,0.031,0.01,0.015,0.008,0.009,0.004,0.005,0.007,0.007,0.009,0.004,0.005,0.005,0.004,0.014,0.007,0.005,0.028,0.004,0.011,0.011,0.031,0.024,0.009,0.023,0.026,0.007,0.018,0.01,0.028,0.007,0.003,0.004,0.006,0.006,0.005,0.014,0.006,0.003,0.013,0.013,0.004,0.012,0.002,0.003,0.003
0.349,0.291,0.178,0.005,0.006,0.0,0.002,0.008,0.002,0.03,0.01,0.035,0.009,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.011,0.003,0.001,0.003,0.0,0.001,0.001,0.003,0.005,0.001,0.005,0.006,0.001,0.003,0.002,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.006,0.006,0.0,0.001,0.0,0.0,0.0
0.018,0.012,0.008,0.0,0.002,0.015,0.0,0.026,0.034,0.045,0.155,0.074,0.219,0.001,0.004,0.001,0.013,0.001,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.009,0.071,0.005,0.076,0.004,0.015,0.004,0.061,0.009,0.001,0.007,0.009,0.002,0.007,0.003,0.054,0.003,0.001,0.001,0.002,0.001,0.003,0.006,0.001,0.0,0.002,0.001,0.0,0.003,0.0,0.0,0.001
0.021,0.022,0.012,0.0,0.0,0.022,0.018,0.0,0.054,0.347,0.067,0.223,0.045,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.019,0.005,0.001,0.015,0.001,0.003,0.002,0.016,0.009,0.001,0.004,0.009,0.001,0.019,0.01,0.014,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.005,0.005,0.001,0.002,0.0,0.0,0.001
0.041,0.038,0.019,0.0,0.0,0.043,0.009,0.13,0.0,0.107,0.204,0.066,0.056,0.001,0.002,0.001,0.001,0.003,0.002,0.002,0.005,0.001,0.001,0.001,0.001,0.022,0.028,0.001,0.043,0.001,0.004,0.003,0.044,0.003,0.002,0.002,0.003,0.004,0.026,0.014,0.04,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.004,0.004,0.001,0.003,0.0,0.0,0.001
0.027,0.029,0.031,0.0,0.001,0.041,0.005,0.143,0.032,0.0,0.072,0.497,0.02,0.0,0.003,0.002,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.012,0.022,0.0,0.008,0.0,0.001,0.001,0.008,0.003,0.001,0.003,0.003,0.001,0.005,0.003,0.007,0.003,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.004,0.0,0.0,0.0
